1		Hypothesis A	Sentence A	Entity A	Hypothesis B	Sentence B	Entity B	Cooper	Maddie	Maui	Naz	Number of matching (ratio of num "M" / people)	Ratio (M/Total)	Subclasses	Linked	Not Matching	Opposites
214	75905	h1	Stress is known to cause complaints.	Stress	h2	the unique contribution of pain-related fear predicts poor behavioral performance.	pain	NM	NM	NM	NM	0	0	0	0	4	0
217	87323	h1	the Mini-Cog reportedly has high validity for detecting cognitive impairment in a community sample of ethnolinguistically diverse older adults.	cognitive impairment	h2	A reliable and valid index of depressive symptoms in chronic pain patients this finding the overall severity of depressive symptoms.	depressive symptoms	NM	NM	NM	L	0	0	0	1	3	0
218	28182	h1	Osteoarthritis of the knees increases in incidence with age.	age	h1	Exercise may reduce disability in osteoarthritis patients.	disability	NM	NM	NM	NM	0	0	0	0	4	0
219	96368	h1	Baseline pain interference did not have a direct effect on the change in depressive symptoms.	Baseline pain interference	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	S	NM	S	S	0	0	3	0	1	0
220	22766	h1	Dropouts may be attributable to unrecorded adverse events.	Dropout	h2	Multitudinous complementary mechanisms also involve decreased rates of breakdown.	breakdown	NM	NM	NM	NM	0	0	0	0	4	0
221	125476	h1	The affected items include sleep disturbance, decrease in libido, and increased fatigue.	fatigue	h1	The pain and interference should have been present for at least 6 months.	pain	NM	NM	NM	NM	0	0	0	0	4	0
222	29180	h1	Pain may be caused or exacerbated by anxiety.	Pain	h2	Persons with spinal pain were more sensitive to triceps surae vibration.	spinal pain	S	S	S	S	0	0	4	0	0	0
223	236432	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	h1	Change in mindful observing, however, was not significantly correlated with improved pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
224	284176	h1	However, the effect of age on physical disability was significant.	physical disability	h2	Physical activity is critically important for mobility and physical function.	physical function	L	NM	NM	O	0	0	0	1	2	1
225	222118	h1	Distress can make pain worse.	pain	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	L	NM	NM	NM	0	0	0	1	3	0
228	236434	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	h1	Change in cognitive process was not associated with change in pain interference across any treatment condition.	pain interference	L	NM	NM	NM	0	0	0	1	3	0
229	22003	h1	Dropouts happen, and it is unknown how many are due to dissatisfaction or unrecorded worse pain.	Dropout	h2	The BBQ can assess false beliefs and related fear in French LBP populations.	false beliefs	NM	NM	NM	NM	0	0	0	0	4	0
230	67590	h1	The rational of using ACT in the context of longstanding pain was based on established relationships between fear, anxiety, stress, muscle tension, negative thoughts, and pain.	fear	h1	Activity engagement changed significantly in the sample as a whole, indicating improvement.	improvement	NM	NM	NM	NM	0	0	0	0	4	0
232	104876	h2	We hypothesized that patients reporting a sudden pain onset will report more disability.	pain	h2	Persons with spinal pain were less sensitive to paraspinal vibration.	spinal pain	S	S	S	S	0	0	4	0	0	0
233	189458	h1	The pain and interference should have been present for at least 6 months.	interference	h2	physical activities can promote a gradual progress towards recovery.	recovery	NM	NM	NM	NM	0	0	0	0	4	0
234	67579	h1	The rational of using ACT in the context of longstanding pain was based on established relationships between fear, anxiety, stress, muscle tension, negative thoughts, and pain.	fear	h1	The observed improvements in sleep were revealed at follow-up.	sleep	NM	NM	NM	NM	0	0	0	0	4	0
236	271650	h1	two groups: one receiving MBSR and the other receiving a multidisciplinary intervention showed improvements in perceptions of pain intensity and pain-related distress.	pain	h1	Muscle tension may play a role in muscle tension's persistence.	persistence	NM	NM	NM	NM	0	0	0	0	4	0
237	241202	h1	Within a given treatment epoch, reductions in precontemplation attitudes were associated with improvements in pain intensity.	pain intensity	h1	Change in cognitive process was not associated with change in pain interference across any treatment condition.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
238	21202	h2	Cortical plasticity is caused by sensorimotor or cognitive stimulation.	sensorimotor	h1	Interference is not affected by posttreatment changes in pain intensity.	pain	NM	NM	NM	NM	0	0	0	0	4	0
239	127914	h2	Patients fear harm during physical activities.	fear	h1	The results of this study suggest that having patients participate in group sessions designed to educate patients about arthritis and arthritis's treatment does not provide the same benefits in terms of pain.	pain	NM	NM	NM	NM	0	0	0	0	4	0
240	263321	h2	The relation between distraction and pain reduction is not simplistic.	distraction	h2	Experienced pain increase was less predictive of physical performance.	pain	NM	NM	NM	NM	0	0	0	0	4	0
242	139823	h1	The rate of symptom improvement may differ.	improvement	h1	The primary focus of this study is on pain interference.	interference	L	NM	NM	NM	0	0	0	1	3	0
244	89144	h1	the person had a hard time controlling the person's emotions because of poor sleep.	poor sleep	h2	Those in high pain in the present study were not influenced by directed attention.	pain	NM	NM	NM	NM	0	0	0	0	4	0
245	153073	h2	Sensory deficits from the location might result in instability.	instability	h1	Any treatment can make lasting positive changes.	treatment	NM	NM	NM	NM	0	0	0	0	4	0
246	9353	h2	Fear of pain may be more related to short-lasting pain increases.	pain	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain intensity	NM	NM	NM	NM	0	0	0	0	4	0
247	10021	h1	Hyperactivity increases.	Hyperactivity	h2	Experienced pain increase was less predictive of physical performance.	pain	NM	NM	NM	NM	0	0	0	0	4	0
248	78405	h1	Amputation is known to produce significant central cortical changes.	Amputation	h1	The changes in pain interference scores were predicted.	interference	NM	NM	NM	NM	0	0	0	0	4	0
250	93980	h1	Baseline pain intensity did not have a significant effect on the change in depressive symptoms during the trial.	Baseline pain intensity	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	NM	NM	NM	L	0	0	0	1	3	0
251	17731	h1	Pain-related distress reduced by 0.37 units.	Pain-related distress	h1	The changes in pain catastrophizing and pain self-efficacy were related to subsequent changes in pain catastrophizing and pain self-efficacy, which is consistent with the notion that changes in putative mechanism factors are important.	pain catastrophizing	NM	L	NM	L	0	0	0	2	2	0
252	101532	h1	Exercise may reduce disability in osteoarthritis patients.	disability	h2	the unique contribution of pain-related fear predicts poor behavioral performance.	fear	NM	NM	NM	NM	0	0	0	0	4	0
253	81632	h1	Participants were adults with chronic pain secondary to multiple sclerosis (MS).	chronic pain	h2	Persons with spinal pain were less sensitive to paraspinal vibration.	spinal pain	L	S	NM	NM	0	0	1	1	2	0
254	185223	h1	This indicates that treatment groups had similar effects on pain interference changes.	pain	h1	High levels of pain anxiety compromise participation in rehabilitation.	pain anxiety	NM	NM	NM	NM	0	0	0	0	4	0
256	182846	h2	A reliable and valid index of depressive symptoms in chronic pain patients this finding the overall severity of depressive symptoms.	pain	h1	Muscle tension may play a role in muscle tension's persistence.	persistence	NM	NM	NM	NM	0	0	0	0	4	0
257	219724	h1	Support has been found for disability beliefs as mediators of pain treatment.	pain	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	NM	NM	NM	NM	0	0	0	0	4	0
258	107651	h2	Physiologic complexity can vary with aging and disease.	disease	h1	The results of this study suggest that having patients participate in group sessions designed to educate patients about arthritis and arthritis's treatment does not provide the same benefits in terms of pain.	arthritis	S	NM	NM	S	0	0	2	0	2	0
259	102249	h1	Exercise may reduce disability in osteoarthritis patients.	Exercise	h2	However, this sensitivity is only present when attention resources are available, specifically in cases of lower pain.	attention	NM	NM	NM	NM	0	0	0	0	4	0
260	113004	h2	Chronic pain may affect emotional functioning.	Chronic pain	h1	It might be argued that the changes in cognitive errors were not due to decreased pain.	pain	S	S	S	S	0	0	4	0	0	0
261	123149	h2	Finally, The studies should examine the fatigue of the legs directly related to the walking motion.	fatigue	h1	Distress can make pain worse.	Distress	NM	O	NM	NM	0	0	0	0	3	1
262	102123	h1	Exercise may reduce disability in osteoarthritis patients.	Exercise	h2	Finally, The studies should examine the fatigue of the legs directly related to the walking motion.	walking motion	S	S	NM	S	0	0	3	0	1	0
263	109509	h1	People who receive no treatment for People who receive no treatment for their pain's pain probably experience more pain and distress compared to people treated with CBT.	pain	h2	The relation between distraction and pain reduction is not simplistic.	distraction	NM	NM	NM	NM	0	0	0	0	4	0
264	197238	h1	The effect size for pain interference was less than small.	pain	h2	Individuals in high pain have less responsiveness to changing task conditions.	responsiveness	NM	NM	NM	NM	0	0	0	0	4	0
266	245994	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	h1	Our finding is that the BIO treatment condition may have resulted in greater pain reduction than the BIO treatment condition.	pain reduction	L	NM	NM	NM	0	0	0	1	3	0
267	66488	h2	The purpose was to determine how changes in pain focus influenced trunk muscle activation patterns.	muscle	h2	However, this sensitivity is only present when attention resources are available, specifically in cases of lower pain.	pain	NM	NM	NM	NM	0	0	0	0	4	0
268	204201	h1	Interference is not affected by posttreatment changes in pain intensity.	pain	h1	Support has been found for disability beliefs as mediators of pain treatment.	disability	NM	NM	NM	NM	0	0	0	0	4	0
270	184647	h2	The hypothesized sensory deficiency might be due to movement causing pain.	movement	h2	The presence of pain radiating into at least one leg influenced physical performance.	pain	NM	NM	NM	NM	0	0	0	0	4	0
271	104649	h2	We hypothesized that patients reporting a sudden pain onset will report more disability.	pain	h2	There is no significant relation between the expectation of pain.	expectation	NM	NM	NM	NM	0	0	0	0	4	0
272	25288	h2	Fluctuations in repeated human movements arise from external disturbances.	Fluctuations	h2	Sensory deficits from the location might result in instability.	instability	NM	NM	NM	NM	0	0	0	0	4	0
273	81436	h1	Participants were adults with chronic pain secondary to multiple sclerosis (MS).	chronic pain	h1	Yoga (Craner, Osadchuk, & Katz, 2011; Lazaridou et al., 2019) is a practice that can bring about significant changes in pain catastrophizing.	pain catastrophizing	NM	NM	NM	NM	0	0	0	0	4	0
274	253741	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in pain interference was significant.	pretreatment	h2	The relation between distraction and pain reduction is not simplistic.	distraction	NM	NM	NM	NM	0	0	0	0	4	0
275	104291	h2	We hypothesized that patients reporting a sudden pain onset will report more disability.	disability	h1	Age did not significantly change prior to treatment.	Age	NM	NM	NM	NM	0	0	0	0	4	0
276	243578	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	h1	Decrease in depressive symptoms was associated with a decrease in pain interference.	pain interference	L	NM	NM	NM	0	0	0	1	3	0
277	216193	h1	These processes should be investigated in terms of how These processes affect future pain.	pain	h2	The relation between distraction and pain reduction is not simplistic.	distraction	NM	NM	NM	NM	0	0	0	0	4	0
278	238814	h1	The number of days participants listened to the audio recordings provided with treatment did not show an indirect effect on change in pain intensity.	pain intensity	h1	There was no evidence for significant indirect effects (mediation) of the practice of listening to the audio recordings on pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
279	240000	h1	The number of days of practice did not evidence a significant indirect effect on change in pain intensity.	pain intensity	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	S	L	S	L	0	0	2	2	0	0
280	105716	h1	Persistent pain leads to disability for some.	Persistent pain	h1	Those in the SC condition reported a greater decrease in high pain days at follow-up.	high pain	L	L	NM	NM	0	0	0	2	2	0
281	268058	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain-related behaviors	h1	two groups: one receiving MBSR and the other receiving a multidisciplinary intervention showed improvements in perceptions of pain intensity and pain-related distress.	pain-related distress	L	S	NM	S	0	0	2	1	1	0
282	249576	h1	Change in cognitive process was not associated with change in pain interference across any treatment condition.	pain interference	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	NM	NM	NM	NM	0	0	0	0	4	0
284	78420	h1	Amputation is known to produce significant central cortical changes.	Amputation	h2	The patients in a group of patients avoid physical activities and fear pain/(re)injury.	pain	NM	NM	NM	NM	0	0	0	0	4	0
285	224489	h1	Patients with spinal cord injury (SCI) reported 27% clinically meaningful decreases in daily pain.	pain	h1	Only baseline pain interference had a significant effect on the change in pain catastrophizing.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
286	123043	h2	Finally, The studies should examine the fatigue of the legs directly related to the walking motion.	fatigue	h1	Persons who rated pain interference with activities	pain	NM	NM	NM	NM	0	0	0	0	4	0
287	127912	h2	Patients fear harm during physical activities.	fear	h1	Support has been found for disability beliefs as mediators of pain treatment.	pain	NM	NM	NM	NM	0	0	0	0	4	0
289	81346	h1	Participants were adults with chronic pain secondary to multiple sclerosis (MS).	chronic pain	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	L	S	L	S	0	0	2	2	0	0
290	140380	h1	The rate of symptom improvement may differ.	symptom	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	pain	NM	L	NM	NM	0	0	0	1	3	0
291	49714	h1	Persistent pain leads to anxiety for some.	Persistent pain	h1	Inactivity contributes to increased pain for some people.	increased pain	L	L	NM	NM	0	0	0	2	2	0
292	191126	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	pain	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	L	NM	NM	NM	0	0	0	1	3	0
293	3897	h2	Chronic back pain patients are systematically exposed to a series of physical activities.	Chronic back pain	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	spinal-cord injury	L	L	NM	L	0	0	0	3	1	0
294	86392	h1	Results suggest that cognitive changes do not occur solely in a treatment.	cognitive changes	h1	The failure to adaptively resolve conflicts appears to drive somatic symptoms.	somatic symptoms	NM	L	NM	NM	0	0	0	1	3	0
296	126900	h2	the unique contribution of pain-related fear predicts poor behavioral performance.	fear	h1	Did the treatment give you any relief?	relief	NM	O	NM	O	0	0	0	0	2	2
297	67019	h1	The rational of using ACT in the context of longstanding pain was based on established relationships between fear, anxiety, stress, muscle tension, negative thoughts, and pain.	anxiety	h1	Persons who rated pain interference with activities	pain	NM	NM	NM	NM	0	0	0	0	4	0
299	84795	h1	Participants were excluded if Participants had chronic pain due to malignancy.	chronic pain	h2	Those reporting high pain-intensity have difficulty in engaging in distraction tasks.	pain-intensity	NM	NM	NM	NM	0	0	0	0	4	0
300	21928	h1	Dropouts happen, and it is unknown how many are due to dissatisfaction or unrecorded worse pain.	Dropout	h2	These findings indicate that individual constraints reduce persistence.	persistence	NM	O	NM	NM	0	0	0	0	3	1
301	124541	h1	Poor physical fitness is also characterized by an increasing tendency to fatigue on usual activities.	fatigue	h2	Persons with spinal pain were more sensitive to triceps surae vibration.	vibration	NM	NM	NM	NM	0	0	0	0	4	0
303	9647	h1	Hyperactivity increases.	Hyperactivity	h2	The purpose was to determine how changes in pain focus influenced trunk muscle activation patterns.	muscle	NM	L	NM	NM	0	0	0	1	3	0
304	253269	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in pain interference was significant.	pain interference	h1	Persistent pain leads to social isolation for some.	Persistent pain	NM	NM	NM	NM	0	0	0	0	4	0
305	102159	h1	Exercise may reduce disability in osteoarthritis patients.	Exercise	h1	Activity engagement changed significantly in the sample as a whole, indicating improvement.	Activity engagement	L	S	NM	L	0	0	1	2	1	0
306	243588	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	h1	the primary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	L	NM	NM	S	0	0	1	1	2	0
307	192442	h1	Fighting against the pain and unwillingness to experience the pain needed to be limited.	pain	h1	a study focused on the prevention of relapse/recurrence in major depression.	recurrence	NM	NM	NM	NM	0	0	0	0	4	0
308	224518	h1	Patients with spinal cord injury (SCI) reported 27% clinically meaningful decreases in daily pain.	pain	h1	the secondary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
311	285368	h1	Psychosocial factors play an important role in associated physical disability.	physical disability	h2	Physical activity is critically important for mobility and physical function.	physical function	O	O	NM	O	0	0	0	0	1	3
312	37859	h2	Undesirable responses are triggered by external or internal perturbations.	perturbations	h1	This indicates that treatment groups had similar effects on pain interference changes.	interference	NM	S	NM	NM	0	0	1	0	3	0
314	141580	h1	Harm beliefs changed significantly in the sample as a whole, indicating improvement.	Harm beliefs	h1	The changes in pain interference scores were predicted.	pain	NM	NM	NM	NM	0	0	0	0	4	0
315	202013	h2	Only those who reported low pain showed changes in temporal activation profiles.	pain	h1	Persistent pain leads to social isolation for some.	Persistent pain	NM	NM	S	S	0	0	2	0	2	0
316	78598	h1	Amputation is known to produce significant central cortical changes.	Amputation	h2	The immune systems of vertebrates provide protection.	protection	NM	NM	NM	NM	0	0	0	0	4	0
317	250886	h1	the primary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	h1	The failure to adaptively process conflicts appears to drive somatic symptoms.	somatic symptoms	NM	NM	NM	NM	0	0	0	0	4	0
318	75948	h1	Stress is known to cause complaints.	Stress	h2	Sensory deficits from the location might result in instability.	instability	NM	NM	NM	NM	0	0	0	0	4	0
319	74116	h1	Results suggested that people who completed all 10 sessions of treatment experienced a significant decrease in pain catastrophizing.	catastrophizing	h2	the unique contribution of pain-related fear predicts poor behavioral performance.	fear	NM	L	NM	NM	0	0	0	1	3	0
320	196001	h1	The changes in pain interference scores were predicted.	pain	h1	Patients who had received PCST/MT reported a greater increase in positive mood at posttreatment.	positive mood	NM	NM	NM	NM	0	0	0	0	4	0
321	243594	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
322	10368	h1	Hyperactivity increases.	increases	h1	Harm beliefs changed significantly in the sample as a whole, indicating improvement.	improvement	NM	NM	NM	NM	0	0	0	0	4	0
323	188195	h2	The studies provide support for the validity of the pain-related fear measures used.	fear	h1	two groups: one receiving MBSR and the other receiving a multidisciplinary intervention showed improvements in perceptions of pain intensity and pain-related distress.	pain	NM	NM	NM	NM	0	0	0	0	4	0
324	255518	h1	The hypnosis protocol used in this study did not have substantial effects on pain interference.	pain interference	h1	The expected pain level after intervention is 1.27.	pain level	NM	NM	NM	NM	0	0	0	0	4	0
325	243580	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	NM	O	NM	NM	0	0	0	0	3	1
326	207876	h2	There is no significant relation between the expectation of pain.	pain	h2	Greater disease progression correlates with further reductions in persistence.	persistence	NM	NM	NM	NM	0	0	0	0	4	0
327	242396	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	h1	the primary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
328	84904	h1	Participants were excluded if Participants had chronic pain due to malignancy.	chronic pain	h1	The results of this study demonstrate that patients having osteoarthritic knee pain benefit from pain coping skills training.	knee pain	S	S	NM	NM	0	0	2	0	2	0
329	237622	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	pain intensity	h1	There was no evidence for significant indirect effects (mediation) of the practice of listening to the audio recordings on pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
330	244773	h1	Decrease in depressive symptoms was associated with a decrease in pain interference.	pain interference	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain intensity	L	NM	NM	NM	0	0	0	1	3	0
332	237656	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	pain intensity	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	NM	NM	NM	NM	0	0	0	0	4	0
333	39611	h2	Walking is regulated by neural systems.	Walking	h2	Slow walking affects locomotor muscle activation timing.	Slow walking	S	S	S	L	0	0	3	1	0	0
334	246574	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain intensity	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
335	101648	h1	Exercise may reduce disability in osteoarthritis patients.	disability	h1	The changes in pain interference scores were predicted.	pain	NM	NM	NM	NM	0	0	0	0	4	0
336	253770	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in pain interference was significant.	pretreatment	h1	Muscle tension may play a role in muscle tension's persistence.	persistence	NM	NM	NM	NM	0	0	0	0	4	0
337	292578	h2	There is ample evidence supporting multiple motor sources of physiological noise.	physiological noise	h1	52% of the hypnosis participants reported these reductions.	reduction	NM	NM	NM	NM	0	0	0	0	4	0
339	211406	h1	The majority of pain treatments available to persons with spinal-cord injury (SCI) have been shown to benefit only a subset of patients.	pain	h1	the secondary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
340	236426	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	h1	Decrease in depressive symptoms was associated with a decrease in pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
341	279486	h2	Greater disease progression correlates with further reductions in persistence.	persistence	h2	Individuals in high pain have less responsiveness to changing task conditions.	responsiveness	NM	L	NM	NM	0	0	0	1	3	0
342	209002	h1	Participants were encouraged to understand how affective factors shape pain.	pain	h1	The number of days of practice did not evidence a significant indirect effect on change in pain intensity.	pain intensity	NM	NM	NM	L	0	0	0	1	3	0
343	109512	h1	People who receive no treatment for People who receive no treatment for their pain's pain probably experience more pain and distress compared to people treated with CBT.	pain	h1	Participants in the self-hypnosis condition were asked to report the number of hours pain relief usually lasted after Participants in the self-hypnosis condition listened to an audio recording of one of Participants in the self-hypnosis condition's sessions.	pain relief	NM	O	NM	NM	0	0	0	0	3	1
345	251954	h1	the secondary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	h1	Our finding is that the BIO treatment condition may have resulted in greater pain reduction than the BIO treatment condition.	pain reduction	NM	NM	NM	NM	0	0	0	0	4	0
346	72952	h1	It limited our ability to test whether the hypothesized associations would have emerged in individuals with higher pretreatment catastrophizing scores.	catastrophizing	h1	cognitive behavioral therapy causes improvement.	improvement	NM	O	NM	NM	0	0	0	0	3	1
347	52034	h1	Perhaps this was because patients who were experiencing lower levels of depression had higher rates of attrition.	depression	h1	People who receive no treatment for People who receive no treatment for their pain's pain probably experience more pain and distress compared to people treated with CBT.	distress	NM	NM	NM	NM	0	0	0	0	4	0
348	97331	h2	Those reporting high pain-intensity have difficulty in engaging in distraction tasks.	pain-intensity	h1	People who receive no treatment for People who receive no treatment for their pain's pain probably experience more pain and distress compared to people treated with CBT.	pain	NM	NM	NM	NM	0	0	0	0	4	0
349	193652	h1	The purpose was to predict 4-week- to-posttreatment changes in pain interference change scores.	pain	h1	Did the treatment give you any relief?	relief	NM	O	NM	O	0	0	0	0	2	2
350	127874	h2	Patients fear harm during physical activities.	fear	h1	The effect size for pain interference was less than small.	pain	NM	NM	NM	NM	0	0	0	0	4	0
351	250764	h1	the primary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	h1	Participants in the self-hypnosis condition were asked to report the number of hours pain relief usually lasted after Participants in the self-hypnosis condition listened to an audio recording of one of Participants in the self-hypnosis condition's sessions.	pain relief	NM	NM	NM	NM	0	0	0	0	4	0
352	248512	h1	Change in mindful observing, however, was not significantly correlated with improved pain interference.	pain interference	h2	Persons with spinal pain were less sensitive to paraspinal vibration.	spinal pain	NM	L	NM	NM	0	0	0	1	3	0
354	22518	h1	Dropouts happen, and it is unknown how many are due to dissatisfaction or unrecorded worse pain.	dissatisfaction	h2	More recent evidence suggests age may not affect persistence.	persistence	NM	O	NM	NM	0	0	0	0	3	1
355	241200	h1	Within a given treatment epoch, reductions in precontemplation attitudes were associated with improvements in pain intensity.	pain intensity	h1	Change in mindful observing, however, was not significantly correlated with improved pain interference.	pain interference	L	NM	NM	NM	0	0	0	1	3	0
356	235246	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	h1	the secondary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
357	5058	h1	Chronic pain is a growing problem.	Chronic pain	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	S	S	L	S	0	0	3	1	0	0
358	213877	h1	The primary focus of this study is on pain interference.	pain	h1	Patients who had received PCST reported a greater decrease in high pain days at posttreatment.	high pain day	NM	NM	NM	NM	0	0	0	0	4	0
359	105846	h1	Persistent pain leads to disability for some.	Persistent pain	h1	The majority of pain treatments available to persons with spinal-cord injury (SCI) have been shown to benefit only a subset of patients.	pain	NM	S	NM	NM	0	0	1	0	3	0
360	196045	h1	The changes in pain interference scores were predicted.	pain	h1	The modification allowed for alternative motor responses.	motor	NM	NM	NM	NM	0	0	0	0	4	0
361	97596	h2	Those reporting high pain-intensity have difficulty in engaging in distraction tasks.	pain-intensity	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	NM	L	NM	NM	0	0	0	1	3	0
362	235389	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	h1	Persistent pain leads to social isolation for some.	Persistent pain	NM	NM	NM	NM	0	0	0	0	4	0
364	141572	h1	Harm beliefs changed significantly in the sample as a whole, indicating improvement.	Harm beliefs	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	pain	NM	NM	NM	NM	0	0	0	0	4	0
365	237616	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	pain intensity	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	S	S	S	L	0	0	3	1	0	0
366	25381	h2	Fluctuations in repeated human movements arise from external disturbances.	Fluctuations	h2	There is no significant relation between the expectation of pain.	expectation	NM	NM	NM	NM	0	0	0	0	4	0
367	135089	h1	The decrease in high pain days reported by patients who had received PCST was significantly lesser than that reported by those in the SC condition (t 3.66; P .0003).	high pain day	h1	Only baseline pain interference had a significant effect on the change in pain catastrophizing.	pain interference	NM	L	NM	L	0	0	0	2	2	0
368	311646	h2	The immune systems of vertebrates provide protection.	protection	h1	At least 30% of the hypnosis participants reported these reductions.	reduction	NM	NM	NM	NM	0	0	0	0	4	0
369	240018	h1	The number of days of practice did not evidence a significant indirect effect on change in pain intensity.	pain intensity	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
370	188921	h1	The pain and interference should have been present for at least 6 months.	pain	h1	an explicit goal was to correct participants' misunderstandings about pain's relationship to injury and tissue damage.	injury	NM	NM	NM	NM	0	0	0	0	4	0
371	49357	h1	Persistent pain leads to anxiety for some.	anxiety	h2	Experienced pain increase was less predictive of physical performance.	pain	NM	NM	NM	NM	0	0	0	0	4	0
372	104730	h2	We hypothesized that patients reporting a sudden pain onset will report more disability.	pain	h1	The expected pain level after intervention is 1.27.	pain level	NM	NM	NM	L	0	0	0	1	3	0
374	26707	h1	Mood disturbance is also a symptom of Fibromyalgia (FM.	Mood disturbance	h2	The presence of pain radiating into at least one leg influenced physical performance.	pain	NM	NM	NM	NM	0	0	0	0	4	0
375	212707	h1	Pre-treatment decrease in depressive symptoms was associated with the decrease in pain intensity.	pain	h1	a study focused on the prevention of relapse/recurrence in major depression.	relapse	NM	NM	NM	NM	0	0	0	0	4	0
